Date,_cached_page_id,_template,_type,url,Text
['2018-03-25 00:00:00'],7381bb9de676f06ffefa047bf5bc483d06b22a1a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/how-to-prevent-chin-jawline-breakouts,
['2016-12-13 00:00:00'],ae94750f859f70cf7185e74ac60ed05b48f06323,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/where-not-to-pop-pimple-on-face,
['2018-03-30 00:00:00'],d9099d93992721066e59288f6a36f8dc26c72da9,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/teen-blind-acne-medication-doxycycline,
['2018-04-04 00:00:00'],1e59684c781c8c2834f1916bfa4fd13963036512,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/dr-pimple-popper-rose-cyst-extraction-video,
['2018-04-05 00:00:00'],0ad6f305c1ac3631639bf86b7603ecd5880e6d44,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-bed-pillows,
['2018-04-19 00:00:00'],cf8a8af4bb4fbb4c96b720caa76b3d779aad4ca0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/cvs-beauty-in-real-life-campaign,
['2018-04-16 00:00:00'],4d982f16920035cc464c93e9c19e0e15d1522b79,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/buy-handmade-unicorn-bath-bombs-etsy-shop,
['2017-12-21 00:00:00'],2523c93a4508806d941628ba6d3e4deea2fca5f0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/blogger-juli-bauer-roth-cystic-acne-before-after-photos,
['2017-06-06 00:00:00'],d5a11eb418c68af65e05d5a76bee3dae0707766f,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/the-cost-of-allure-editors-beauty-routines,
['2018-03-27 00:00:00'],01d9c4acf3a4ebd44a7aec8b51232ec33381f0a0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-natural-deodorants,
['2018-03-01 00:00:00'],0b272a80a67919fa5d56033064a5e324b620e6ad,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/succulent-hair-color-trend,
['2017-10-03 00:00:00'],b6fd8fa1cdf1c52c7e98811c8e8ef3610ff2f86f,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/breast-cancer-awareness-products,
['2017-04-07 00:00:00'],0f07e8cf0647ad277efafff3660d7d74939681ed,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-pore-minimizing-products,
['2018-03-06 00:00:00'],bb8fd2619824eec68c7d8ce1dd675f69142e50e3,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-japanese-beauty-products,
['2017-08-31 00:00:00'],a6538e758d23dd7598d22c713cc5069b035eb8ed,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/why-you-should-wear-antiperspirant-at-night,
