Ingredient,Rating,Description
"1, 2-Hexanediol",Good,A preservative belonging to a class of agents known as higher molecular glycols.
10-Hydroxydecanoic Acid,Good,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
4-T-butylcyclohexanol,Good, 'A synthetic fatty alcohol that functions as an emollient and soothing agent...
Acacia farnesiana extract,Poor,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit...
acacia senegal gum,Good,"Herb that can have skin soothing properties, but is used primarily as a thickening agent."
acai,Best,"Pronounced ""ah-sigh-ee"", this small berry with a deep purple color is a source of..."
acerola fruit extract,Good,"Acerola contains vitamin C. However, the dry acerola fruit and powder are unlikely to be a good..."
acetic acid,Poor,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin..."
acetone,Poor,Strong solvent that is used in Nail Polish removers.
acetylated castor oil,Good,Used as an emollient and thickening agent in cosmetics.
acetylated hydrogenated cottonseed glyceride,Good,Used as an emollient and thickening agent in cosmetics.
acetylated lanolin,Good,Emollient derived from lanolin.
acetylated lanolin alcohol,Good,An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed...
acetylated palm kernel glycerides,Good,Used as an emollient and thickening agent in cosmetics.
acetyl carnitine HCL,Best,
acetyl glucosamine,Best,Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid.
acetyl glyceryl ricinoleate,Good,Used as an emollient and thickening agent in cosmetics.
acetyl hexapeptide-8,Good,"Acetyl hexapeptide-8 is a synthetically-derived peptide that, like all peptides, has water-binding properties and skin-restoring ability."
acetyl octapeptide-3,Good,"A synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine..."
acetyl tributyl citrate,Average,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening..."
acetyl tyrosine,Good,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it...
Achillea millefolium,Poor,
acid,Average,Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH...
acne soap,Poor,"Soaps that often contain strong cleansing ingredients, they are often overly drying and..."
acrylate,Good,
acrylates/C10-30 alkyl acrylate crosspolymer,Good,A synthetic ingredient used to enhance the texture of skincare and haircare products.
acrylates/dimethicone copolymer,Good,A silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better...
acrylates/steareth-20 methacrylate copolymer,Good,A synthetic polymer that blends stearth-20 with one or more forms of methacrylic acid. Functions as...
acrylates copolymer,Good,
Actaea racemosa,Average,
