word,negative_female,negative_male,positive_female,positive_male
abnormal,1,1,0,0
abundance,0,0,1,0
abuse,1,0,0,0
accurate,0,0,4,0
addicted,3,1,0,0
advanced,0,0,3,1
adverse,0,1,0,0
afford,0,0,4,1
afraid,2,0,0,0
aggravate,6,0,0,0
aggravating,0,1,0,0
aggressive,0,1,0,0
allergic,4,5,0,0
allergies,4,0,0,0
allergy,2,2,0,0
amazed,0,0,0,1
amazing,0,0,27,9
amazingly,0,0,1,0
angel,0,0,2,1
annoying,1,0,0,0
anxiety,2,0,0,0
anxious,1,0,0,0
appalled,1,0,0,0
applaud,0,0,1,0
appreciated,0,0,3,1
astonishing,0,0,1,0
attack,1,0,0,0
authentic,0,0,1,0
award,0,0,1,0
awards,0,0,1,0
awesome,0,0,15,1
awful,5,1,0,0
bad,40,7,0,0
badly,1,0,0,0
balanced,0,0,4,0
bash,0,2,0,0
bashing,1,1,0,0
beautiful,0,0,12,7
beautifully,0,0,5,0
beauty,0,0,4,3
beg,1,0,0,0
begging,1,0,0,0
beneficial,0,0,3,1
benefit,0,0,4,3
benefits,0,0,3,0
beware,1,0,0,0
biased,1,0,0,0
blame,1,0,0,0
bleeding,1,1,0,0
blemish,2,0,0,0
bless,0,0,1,0
bloody,1,0,0,0
boil,1,0,0,0
boom,0,0,1,0
boost,0,0,2,0
bother,1,0,0,0
bothering,2,0,0,0
bothersome,1,0,0,0
brave,0,0,1,0
break,33,8,0,0
breaking,9,1,0,0
breaks,4,2,0,0
breeze,0,0,1,0
brilliant,0,0,1,0
broke,8,0,0,0
broken,6,1,0,0
bs,1,0,0,0
bump,5,0,0,0
bumps,20,10,0,0
bumpy,1,0,0,0
burn,2,1,0,0
burned,2,0,0,0
burns,2,0,0,0
calm,0,0,3,0
calming,0,0,4,0
calmness,0,0,1,0
cancer,2,0,0,0
capable,0,0,2,0
celebrate,0,0,1,0
celebration,0,0,2,0
challenging,1,0,0,0
cheap,5,1,0,0
cheaper,0,0,3,1
cheat,0,1,0,0
chill,1,0,0,0
chronic,2,0,0,0
classic,0,0,2,0
clean,0,0,16,6
cleared,0,0,28,9
clearer,0,0,4,0
clears,0,0,7,0
clog,14,1,0,0
clogged,5,2,0,0
clogs,2,0,0,0
cold,4,2,0,0
comfortable,0,0,3,0
commitment,0,0,1,1
compassion,0,0,0,1
complex,1,0,0,0
comprehensive,0,0,1,0
concerned,5,1,0,0
concerns,6,1,0,0
confidence,0,0,3,0
confident,0,0,3,0
confused,2,0,0,0
congested,1,0,0,0
congestion,1,0,0,0
congratulations,0,0,4,0
cons,2,0,0,0
consistent,0,0,6,1
consistently,0,0,1,0
contaminated,0,1,0,0
cool,0,0,1,1
correct,0,0,9,3
correctly,0,0,12,0
corruption,0,1,0,0
crack,1,0,0,0
crap,1,1,0,0
crazy,8,1,0,0
criticize,1,0,0,0
criticizing,2,0,0,0
cry,2,0,0,0
culprit,4,2,0,0
cure,0,0,13,5
curse,1,0,0,0
damage,10,1,0,0
damaged,1,0,0,0
damages,1,0,0,0
damaging,1,0,0,0
damn,0,1,0,0
dangerous,7,1,0,0
dark,18,2,0,0
darker,6,3,0,0
dawn,0,0,1,0
dead,5,3,0,0
deaf,1,0,0,0
decay,1,0,0,0
decent,0,0,1,3
defects,3,0,0,0
deficiency,0,1,0,0
deficient,1,0,0,0
delayed,1,0,0,0
delightful,0,0,1,0
delusions,1,0,0,0
depressed,4,1,0,0
depressing,1,0,0,0
depression,6,2,0,0
desperate,7,0,0,0
deter,1,0,0,0
detrimental,1,0,0,0
devastating,1,0,0,0
difficult,3,4,0,0
difficulty,1,1,0,0
diligent,0,0,1,0
din,0,1,0,0
dirt,3,0,0,0
dirty,1,1,0,0
disagree,0,2,0,0
disappoint,1,0,0,0
disappointed,1,0,0,0
discomfort,1,0,0,0
discontinued,1,0,0,0
disgusted,1,0,0,0
disgusting,0,1,0,0
disorder,3,0,0,0
doubt,4,0,0,0
drain,0,1,0,0
draining,1,0,0,0
drains,1,0,0,0
drastic,1,0,0,0
drastically,1,0,0,0
dust,1,0,0,0
dynamic,0,0,1,0
ease,0,0,1,0
easier,0,0,1,1
easiest,0,0,3,0
easy,0,0,18,2
ecstatic,0,0,1,0
educated,0,0,5,0
effective,0,0,14,6
effectiveness,0,0,1,0
elegant,0,0,1,0
elimination,3,0,0,0
embarrassing,2,0,0,0
emergency,2,0,0,0
eminence,0,0,1,0
empathize,0,0,1,0
encouraging,0,0,2,0
endorsement,0,0,1,0
enemy,1,0,0,0
enhances,0,0,1,0
enjoy,0,0,3,1
enjoyed,0,0,1,0
envy,0,0,3,0
erase,0,1,0,0
error,1,1,0,0
exacerbate,2,1,0,0
excellent,0,0,2,0
excessive,1,1,0,0
excessively,1,0,0,0
excited,0,0,4,1
excuse,2,0,0,0
expensive,13,5,0,0
expired,1,0,0,0
fabulous,0,0,3,0
fail,1,0,0,0
failed,1,1,0,0
fair,0,0,1,1
fairly,0,0,0,1
fairness,0,0,0,3
faithful,0,0,1,0
faithfully,0,0,1,0
fake,2,0,0,0
fall,4,0,0,0
falls,0,1,0,0
FALSE,0,1,0,0
fancy,0,0,1,0
fantastic,0,0,2,1
fast,0,0,5,3
faster,0,0,0,1
fat,0,2,0,0
fatty,2,0,0,0
favorite,0,0,7,0
fear,1,0,0,0
fell,2,1,0,0
fever,0,1,0,0
fine,0,0,5,3
flare,5,0,0,0
flares,1,0,0,0
flawless,0,0,8,0
flawlessly,0,0,1,0
flourish,0,0,1,0
fortunately,0,0,1,0
fortune,0,0,1,0
freaking,1,0,0,0
free,0,0,41,24
freedom,0,0,0,2
frenzy,1,0,0,0
fresh,0,0,5,0
fried,0,1,0,0
friendly,0,0,1,0
frost,1,0,0,0
frozen,1,0,0,0
frustrated,4,0,0,0
frustrating,9,0,0,0
frustrations,2,0,0,0
fun,0,0,4,0
funky,1,0,0,0
funny,0,3,0,0
fuzzy,1,0,0,0
gain,0,0,1,0
garbage,0,1,0,0
gentle,0,0,11,0
genuine,0,0,1,0
gimmick,1,0,0,0
glad,0,0,6,0
godsend,0,0,2,0
gold,0,0,0,1
golden,0,0,2,0
gorgeous,0,0,1,0
greasy,4,0,0,0
gross,1,3,0,0
guarantee,0,0,6,3
guidance,0,0,1,0
guilty,1,0,0,0
handsome,0,0,0,1
hang,3,0,0,0
happier,0,0,1,0
happily,0,0,1,0
happy,0,0,24,6
hard,16,3,0,0
harm,3,0,0,0
harmed,1,0,0,0
harmful,3,3,0,0
harsh,16,4,0,0
hassle,0,1,0,0
hate,5,1,0,0
hating,1,0,0,0
havoc,1,2,0,0
heal,0,0,10,2
healthy,0,0,15,12
heaven,0,0,2,0
heck,1,0,0,0
hell,3,1,0,0
helped,0,0,41,6
helpful,0,0,11,3
helping,0,0,10,3
hesitant,1,0,0,0
holy,0,0,1,1
honest,0,0,3,2
honor,0,0,2,0
hooray,0,0,1,0
horrible,8,4,0,0
